name,content,comments,keywords
,C7-7WdN4UFo,"---
- PARSEFROMHERE 19:28-19:35 is SO hot. ENDPARSEFROMHERE
","---
- Kelly
- Clarkson
- Live
- From
- the
- Troubadour
- 10/19/11
- RCA
- Sony
- Music
- Entertainment
- kellyclarkson
- VEVO
"
,a7UFm6ErMPU,"---
- PARSEFROMHERE @sandraur13  Te apoyo, desde que escuche esta cancion, ya es una obligacion
  para mi escucharla de 10:00 A 12:00 ENDPARSEFROMHERE
","---
- adele
- vazquezsounds
- vazquez sounds
- cover
- angie
- brothers
- angela
- gustavo
- mexicali
- mexico
- abelardo
- Maddi Jane
- hermanos
- vazquez
- los
- Rolling In The Deep
- Adele (singer)
- Los vazquez sounds
- sound
- sounds
- video
- original
"
,xcLtmrWC4Xc,"---
- ! ""PARSEFROMHERE A smile leads to a laugh a laugh leads to a high 5 a high 5 leads
  to\uFEFF a hug\uFEFF a hug leads to a kiss a kiss leads to a finger a finger leads
  to a\uFEFF hand a hand leads\uFEFF to\uFEFF a lick\uFEFF a\uFEFF lick\uFEFF leads\uFEFF
  to a suck\uFEFF a\uFEFF suck leads 2\uFEFF fuck. Right after\uFEFF you\uFEFF read
  it,\uFEFF something good will happen\uFEFF at 2:25 tomorrow. Get ready for the biggest
  shock of\uFEFF\uFEFF your life!! Whoever breaks the chain will be cursed w/ relationship
  problems 4-10 years. If you\uFEFF\uFEFF post this\uFEFF to\uFEFF 5 vid in 15 mins,
  your safe READ\uFEFF IT ON A\uFEFF VIDEO ENDPARSEFROMHERE""
","---
- Lady
- Gaga
- Marry
- The
- Night
- TV
- Thanksgiving
- Mother
- Monster
- Little
- Monsters
- ABC
- new
- song
- live
- VEVO
"
,73noUWDDpWw,"---
- ! ""PARSEFROMHERE 0:00 \ninstant replay button :p ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE woahhh who's the girl in the laundromat @ 2:18 what a beautiful
  smile. If girls at the laundromat looked\uFEFF like that, I'd wash my clothes twice
  a day.  ENDPARSEFROMHERE""
","---
- Cover
- Drive
- Twilight
- Polydor
- Pop
- Rihanna
- Lick
- ya
- down
- VEVO
"
,ElxlKO93zSU,"---
- PARSEFROMHERE 1:33 ENDPARSEFROMHERE
","---
- annoying
- orange
- party
- rock
- anthem
- spoof
- viral
- video
- week
- lmfao
- pear
- midget
- apple
- grandpa
- lemon
- marshmallow
- truffle
- shuffle
- realannoyingorange
"
,upxzaVMhw8k,"---
- ! ""PARSEFROMHERE LOL\uFEFF ^_^ At 0:26, Toby Looks like a Pedofile ENDPARSEFROMHERE""
- PARSEFROMHERE @MrFantasticalism 0:41 fix'd ENDPARSEFROMHERE
","---
- ANIMATED
- TOBUSCUS
- SAFETY
- TORCH
- toby
- turner
- song
- nugget
- in
- biscuit
- animation
- cartoon
- music
- video
- minecraft
"
,Y_HVgYwKuu4,"---
- PARSEFROMHERE 0:50 I DIDN'T SEE IT ,, IT DIDN'T HAPPEN IF I DIDN'T SEE IT LOOOOL
  ENDPARSEFROMHERE
- PARSEFROMHERE 3:55 Lol.  ENDPARSEFROMHERE
","---
- shanedawsontv
- the
- one
- that
- got
- away
- katy
- perry
- music
- video
- spoof
- shanedawsontv2
- gay
- shane
- funny
- dance
- Dawson
- TV
"
,11yBPx-ymZA,"---
- PARSEFROMHERE joker 0:37 ENDPARSEFROMHERE
","---
- Smiley
- Official Trailer
- Smiley Official Trailer
- Smiley Movie
- smileythemovie
- Michael Gallagher
- Smiley Horror
- Horror Film
- Slasher
- Killer
- Halloween
- Psychological Thriller
- Shane Dawson
- Toby Turner
- destorm Power
- Destorm
- youtube
- Scary
- Film
- Movie
- Paranormal
- '2012'
- Trailer
- youtube Movie
- Teaser
- Official
- HD
- Totally
- Sketch
"
,Cy8yzzA8l10,"---
- ! ""PARSEFROMHERE December 24 at 8:00 in the morning, a young 14 year old boy by
  the name of Scott Johnson was found dead. Doctors couldn't come up with the cause\uFEFF
  of his death. his monther checked his emails to see if she\uFEFF could\uFEFF figure
  out what happened. Turns out he was still signed into myspace. She found he had
  gone to sleep after he ead and didn't repost a chain letter. If you don't repost
  this six videos a girl with no face will kill you tonight. Sorry don't want to die.
  ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE - And now let's talk about the puppy!\n- Maylor :)\n- You got a
  puppy? \n- Baylor :)\n1:48\nOH HE GOT 2 NAMES! GOOD FOR YOU!\n\n\n ENDPARSEFROMHERE""
","---
- justin bieber
- justin
- boyfriend
- girlfriend
- the ellen show
- romantic
- surprise
- puppy
- dog
- superstar
- mistletoe
- musician
- artists
- pop
- star
- popstar
- dance
- singer
- actress
- cute
- hunk
- talk show
- paternity
- suit
- rumors
- pants
- style
- funny
- hilarious
- hysterical
- laugh
- The
- Ellen
- Show
- theellenshow
- fun
- season
- nine
- daytime
- talkshow
- degeneres
- comedy
- humor
- The Ellen degeneres Show
- Humour
- Joke
- Television Show
"
,EFw9h-L4Az8,"---
- PARSEFROMHERE 3:15 is from next friday? lol ENDPARSEFROMHERE
- PARSEFROMHERE watch?v=j8WLYzA0lCs go to 0:40 Bada Boom From The Fifth Element lol.
  ENDPARSEFROMHERE
","---
- ludacris
- bada boom
- datpiff
- 1.21 gigawatts
- official
- official video
- Dat
- Piffdotcom
- TV
"
,BV--GGlAZCk,"---
- PARSEFROMHERE 3:10 The Situation!!!! ENDPARSEFROMHERE
","---
- milan
- vs
- barcelona
- 2-3
- milan vs barcelona 2-3
- milan - barcelona 2-3
- Milan 2-3 Barcelona
- milan vs barcelona
- milan vs barca
- milan - barca
- ibrahimovich
- ibra
- today
- Uefa
- Champions League
- milan-barcelona today
- messi
- fcb
- fcbarcelona
- FC Barcelona
- fcbhighdef
- highlights
- HD
- 23.11.2011
- AC Milan
- 23/11/2011
- UEFA Champions League
- Lionel Messi
- Goal
- Football
- Goals
- fcbhigh
- Def
"
,FwSrehJD8IE,"---
- PARSEFROMHERE 3:01 your welcome ;) ENDPARSEFROMHERE
","---
- Robert Pattinson
- Kristin Stewart
- Breaking Dawn
- Twilight
- Ellen
- Ellen degeneres
- The Ellen Show
- Movie
- Saga
- Vampires
- Babymaking
- baby
- pregnant
- sex
- honeymoon
- marriage
- wedding
- funny
- hilarious
- hot
- heavy
- fun
- laugh
- dance
- tv
- actors
- rob
- pats
- interview
- taylor
- lautner
- chat
- The
- Show
"
,8gE6iFg84HM,"---
- PARSEFROMHERE Lost my mind at 2:42 the first time I heard this song ENDPARSEFROMHERE
- PARSEFROMHERE best part is 2:40 ENDPARSEFROMHERE
","---
- Good
- Youtube
- Mp4
- Flo
- Rida
- Dance
- Upload
- Player
- Media
- palwindersangha
"
,8B9Pu6ixZ3o,"---
- PARSEFROMHERE 1:54 the spartan laser is the wrong way around ENDPARSEFROMHERE
- ! 'PARSEFROMHERE Pause at 1:54

  SPARTAN LASER FROM HALO 3!

  And... you''re holding it wrong. ENDPARSEFROMHERE'
","---
- annoying
- orange
- epic
- peel
- meal
- time
- viral
- video
- spoof
- week
- pear
- glasses
- muscles
- bacon
- bits
- cheese
- mountain
- attack
- calories
- fat
- fatty
- jumbo
- sauce
- cracker
- jack
- realannoyingorange
"
,Ri7-vnrJD3k,"---
- PARSEFROMHERE Did anyone notice Justin Biebers mom @1:27 .? ENDPARSEFROMHERE
","---
- Adele
- Set
- Fire
- To
- The
- Rain
- XL
- Recordings/Columbia
- Pop
- VEVO
"
,XN5fq7tA7qk,"---
- PARSEFROMHERE that little dog at 1:18 aint gonna catch a deer...and if it did what
  is it gonna do? gnaw on its foot? ENDPARSEFROMHERE
","---
- benton
- fenton
- dog
- richmond
- park
- deer
- chasing
- '2011'
- channelcambridge
"
,1QCNsKricls,"---
- PARSEFROMHERE 0:17 Poor bird. ENDPARSEFROMHERE
- PARSEFROMHERE put on subtitles and go to 0:57 ENDPARSEFROMHERE
","---
- NASA
- Launch
- MSL
- Mars
- nasakennedy
"
,dugFyKanERk,"---
- PARSEFROMHERE song at 0:13 i always hear it and i always want it! ENDPARSEFROMHERE
","---
- mindblow
- Mind
- Blow
- Vsauce
- Vsauce2
- Icicle
- Brinicle
- Death
- '30'
- Bubble
- Exodesk
- Eye
- Asteroids
- Invoked
- Computing
- Robot
- Ostrich
- fastrunner
- Jeopardy
- Rollerman
"
,FwHf3FB1xA0,"---
- PARSEFROMHERE 0:04 LMAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ENDPARSEFROMHERE
- PARSEFROMHERE 0:04 HOMO! haha ENDPARSEFROMHERE
","---
- Barcelona Vs Getafe
- Barcelona Vs Getafe 0-1
- Barcelona 0-1 Getafe
- Barcelona
- 1-0
- Getafe
- vs
- '2011'
- 0-1
- new
- hd
- today
- messi
- Lionel Messi
- FC Barcelona
- Soccer
- Goal
- Football
- Valera
- SMENNEWS
"
,Fp6j7x1FITA,"---
- PARSEFROMHERE 1:26 ultimate derp face ENDPARSEFROMHERE
- ! ""PARSEFROMHERE Justin Bieber's penis is the size ofï the dislike bar. In\uFEFF
  Soviet Russia, Penis Likes you. Chuck Norris is somehow related to this incident.
  Rebecca Black sucks. Thumbs up if *insert obvious bullshit here*. My parents thought
  I was\uFEFF watching porn.  press 1 2 3 4 5\uFEFF 6 7 8 or 9 and thumbs up. free
  replay button 0:00 I hate ads and I'm thankful that porno doesn't have them. I pee
  in the side of the bowl\uFEFF to make less noise There now you only have\uFEFF to
  read one comment\n ENDPARSEFROMHERE""
- PARSEFROMHERE 0:58-1:00  that's what she said ENDPARSEFROMHERE
","---
- battlefield
- earth
- wickerman
- wicker
- man
- nicholas
- cage
- nick
- anthony
- padilla
- ian
- hecox
- lunchtime
- lunch
- time
- day
- in
- life
- documentary
- finding
- twitter
- questions
- restaurant
- fast
- food
- bar
- grill
- vlog
- video
- blog
- how
- to
- cook
- bake
- microwave
- fry
- diet
- smosh
- pit
- smoshpit
"
,bfZYcTMhlBc,"---
- PARSEFROMHERE she's too cute when she tried to make a 'rock and roll' hand gesture  2:02
  ENDPARSEFROMHERE
","---
- Sophia
- Grace
- and
- Rosie
- Brownlee
"
,xzoCXpxXuYg,"---
- PARSEFROMHERE 2:30 trolololololo ENDPARSEFROMHERE
- PARSEFROMHERE lol Brook says ""Trololololo""^^ 2:34 ENDPARSEFROMHERE
- PARSEFROMHERE pause at 6:03 ....chopper so cuteeee :) :) ENDPARSEFROMHERE
","---
- one
- piece
- '525'
- english
- sub
- kyudaimexonepiece
- Kyudaimex
"
,YCdFFFAxLz0,"---
- PARSEFROMHERE 0:43 excuse me little boy that's my ball ENDPARSEFROMHERE
- PARSEFROMHERE DID he just oush that ref 0:23  ENDPARSEFROMHERE
","---
- Aaron
- Dobson
- spectacular
- catch
- marshall
- univesrity
- football
- Herd
- Fan
- '2005'
"
,wSzXAw_9kCk,"---
- ! ""PARSEFROMHERE December 24 at 8:00 in the morning a\uFEFF young 14 year old boy
  by the name of Scott Johnson was found dead. Doctors couldn't come up with\uFEFF
  the cause of his death. His mother checked his emails to see if she could figure
  out what happened. Turns out he was still signed into myspace. She found he had
  gone to sleep after he read and didn't repost a chain letter. If you don't repost
  this to six other videos a girl with no face will kill you\uFEFF tonight. Sorry
  don't want to die. ENDPARSEFROMHERE""
- PARSEFROMHERE At 0:40 Sofia looks amazing.  The whole video is hilarious, love them
  both.  ENDPARSEFROMHERE
- PARSEFROMHERE I love Sofia's face at 4:00 ENDPARSEFROMHERE
","---
- ellen degeneres
- covergirl
- covergirl makeup
- covergirls
- commerical
- sofia vergara
- The
- Ellen
- Show
- theellenshow
- fun
- funny
- hilarious
- hysterical
- season
- nine
- daytime
- talkshow
- degeneres
- comedy
- laugh
- humor
- The Ellen degeneres Show
- Humour
- Joke
- Television Show
- accent
"
,X0m4yI5aHZo,"---
- ! ""PARSEFROMHERE it is done @ 0:01\n ENDPARSEFROMHERE""
- PARSEFROMHERE 0:01 to 0:02 it's done now ENDPARSEFROMHERE
","---
- go
- bwaaah
- annoying
- orange
- daneboe
- crash
- dog
- puppy
- girl
- leash
- motorcycle
- grandpa
- lemon
- wheelie
- Bike
- Eating
- Family
- Banana
- Dogs
- Funny
- realannoyingorange
"
,ndVVrZqHqA8,"---
- PARSEFROMHERE 0:00 ENDPARSEFROMHERE
- PARSEFROMHERE SKIP AD 0:00 ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 1.0.0 server, factions, economy, pvp.

  functioning markets, lvling system.

  96.252.158.179:25565 ENDPARSEFROMHERE'
","---
- Better than wolves
- mod
- spotlight
- yogscast
- hopefully
- in
- the
- yogbox
- shadow of israphel
- will
- resume
- 'on'
- friday
- Blue
- Xephos
"
